,demand
2025-01-01 00:00:00,-13423.453061293198
2025-01-01 01:00:00,-13228.192776952377
2025-01-01 02:00:00,-12640.489419467052
2025-01-01 03:00:00,-11726.657299816965
2025-01-01 04:00:00,-11270.307729855527
2025-01-01 05:00:00,-11914.03628863523
2025-01-01 06:00:00,-13246.392836576015
2025-01-01 07:00:00,-14685.111480683663
2025-01-01 08:00:00,-16145.654762648024
2025-01-01 09:00:00,-17421.010611668087
2025-01-01 10:00:00,-17952.44114257473
2025-01-01 11:00:00,-17425.3412036216
2025-01-01 12:00:00,-16186.9133697966
2025-01-01 13:00:00,-14923.548507805423
2025-01-01 14:00:00,-14088.634932521512
2025-01-01 15:00:00,-13766.111228724974
2025-01-01 16:00:00,-13982.178736026772
2025-01-01 17:00:00,-14976.528415332454
2025-01-01 18:00:00,-16922.506113078438
2025-01-01 19:00:00,-19163.46088320377
2025-01-01 20:00:00,-20196.824134195063
2025-01-01 21:00:00,-19163.282274579662
2025-01-01 22:00:00,-16921.000564969225
2025-01-01 23:00:00,-14966.710565708798
2025-01-02 00:00:00,-11631.748461329675
2025-01-02 01:00:00,-11462.550677304249
2025-01-02 02:00:00,-10953.291428366283
2025-01-02 03:00:00,-10161.433677374935
2025-01-02 04:00:00,-9765.995679119958
2025-01-02 05:00:00,-10323.802127200797
2025-01-02 06:00:00,-11478.321471492354
2025-01-02 07:00:00,-12725.006158247108
2025-01-02 08:00:00,-13990.602424358513
2025-01-02 09:00:00,-15095.729277095299
2025-01-02 10:00:00,-15556.226753560675
2025-01-02 11:00:00,-15099.481840318926
2025-01-02 12:00:00,-14026.354010632604
2025-01-02 13:00:00,-12931.617639710461
2025-01-02 14:00:00,-12208.14472627247
2025-01-02 15:00:00,-11928.670094950125
2025-01-02 16:00:00,-12115.897843587172
2025-01-02 17:00:00,-12977.526017759317
2025-01-02 18:00:00,-14663.76300821057
2025-01-02 19:00:00,-16605.60480408031
2025-01-02 20:00:00,-17501.03918671111
2025-01-02 21:00:00,-16605.450035364753
2025-01-02 22:00:00,-14662.45841416738
2025-01-02 23:00:00,-12969.01861234492
2025-01-03 00:00:00,-11846.141585015006
2025-01-03 01:00:00,-11673.82519491256
2025-01-03 02:00:00,-11155.17942240005
2025-01-03 03:00:00,-10348.726371543518
2025-01-03 04:00:00,-9945.999771067509
2025-01-03 05:00:00,-10514.087551074794
2025-01-03 06:00:00,-11689.88667195374
2025-01-03 07:00:00,-12959.549901025895
2025-01-03 08:00:00,-14248.473282378674
2025-01-03 09:00:00,-15373.969523158406
2025-01-03 10:00:00,-15842.954759891025
2025-01-03 11:00:00,-15377.791252574376
2025-01-03 12:00:00,-14284.883831858813
2025-01-03 13:00:00,-13169.969587338885
2025-01-03 14:00:00,-12433.161824172208
2025-01-03 15:00:00,-12148.535994867958
2025-01-03 16:00:00,-12339.214672830409
2025-01-03 17:00:00,-13216.72413572971
2025-01-03 18:00:00,-14934.041373218499
2025-01-03 19:00:00,-16911.674652174665
2025-01-03 20:00:00,-17823.613430080663
2025-01-03 21:00:00,-16911.51703080557
2025-01-03 22:00:00,-14932.712733263983
2025-01-03 23:00:00,-13208.059924205954
2025-01-04 00:00:00,-10169.761219653737
2025-01-04 01:00:00,-10021.82980004355
2025-01-04 02:00:00,-9576.579029893446
2025-01-04 03:00:00,-8884.249387940938
2025-01-04 04:00:00,-8538.513746149792
2025-01-04 05:00:00,-9026.209848126608
2025-01-04 06:00:00,-10035.61837290261
2025-01-04 07:00:00,-11125.608035475263
2025-01-04 08:00:00,-12232.132292737873
2025-01-04 09:00:00,-13198.356437553653
2025-01-04 10:00:00,-13600.974272135907
2025-01-04 11:00:00,-13201.637343435761
2025-01-04 12:00:00,-12263.390284332181
2025-01-04 13:00:00,-11306.250648123456
2025-01-04 14:00:00,-10673.710595953991
2025-01-04 15:00:00,-10429.362957510124
2025-01-04 16:00:00,-10593.058166675131
2025-01-04 17:00:00,-11346.388830640952
2025-01-04 18:00:00,-12820.683740786948
2025-01-04 19:00:00,-14518.45664706946
2025-01-04 20:00:00,-15301.344438143846
2025-01-04 21:00:00,-14518.32133113766
2025-01-04 22:00:00,-12819.54312035899
2025-01-04 23:00:00,-11338.950715730643
2025-01-05 00:00:00,-12988.342322116658
2025-01-05 01:00:00,-12799.411247276808
2025-01-05 02:00:00,-12230.75783477392
2025-01-05 03:00:00,-11346.546869028763
2025-01-05 04:00:00,-10904.989513693636
2025-01-05 05:00:00,-11527.852114380385
2025-01-05 06:00:00,-12817.021366192956
2025-01-05 07:00:00,-14209.10506995803
2025-01-05 08:00:00,-15622.305983001888
2025-01-05 09:00:00,-16856.32216899736
2025-01-05 10:00:00,-17370.526794612128
2025-01-05 11:00:00,-16860.5123881975
2025-01-05 12:00:00,-15662.227224647571
2025-01-05 13:00:00,-14439.813347208628
2025-01-05 14:00:00,-13631.96284289696
2025-01-05 15:00:00,-13319.893492873633
2025-01-05 16:00:00,-13528.957340805158
2025-01-05 17:00:00,-14491.075952442408
2025-01-05 18:00:00,-16373.976304097105
2025-01-05 19:00:00,-18542.292276884808
2025-01-05 20:00:00,-19542.15986577458
2025-01-05 21:00:00,-18542.119457719647
2025-01-05 22:00:00,-16372.519557153106
2025-01-05 23:00:00,-14481.57634074064
2025-01-06 00:00:00,-10250.807466992734
2025-01-06 01:00:00,-10101.697132149042
2025-01-06 02:00:00,-9652.898008869886
2025-01-06 03:00:00,-8955.050959164148
2025-01-06 04:00:00,-8606.560033769654
2025-01-06 05:00:00,-9098.142749999583
2025-01-06 06:00:00,-10115.595590782434
2025-01-06 07:00:00,-11214.271747549175
2025-01-06 08:00:00,-12329.614268751688
2025-01-06 09:00:00,-13303.538578727132
2025-01-06 10:00:00,-13709.365010237067
2025-01-06 11:00:00,-13306.845631251608
2025-01-06 12:00:00,-12361.12136579335
2025-01-06 13:00:00,-11396.353961929253
2025-01-06 14:00:00,-10758.772985355303
2025-01-06 15:00:00,-10512.478058404426
2025-01-06 16:00:00,-10677.477809743401
2025-01-06 17:00:00,-11436.812019122055
2025-01-06 18:00:00,-12922.85608122526
2025-01-06 19:00:00,-14634.159110773804
2025-01-06 20:00:00,-15423.28599794727
2025-01-06 21:00:00,-14634.022716463835
2025-01-06 22:00:00,-12921.706370809512
2025-01-06 23:00:00,-11429.31462737252
2025-01-07 00:00:00,-11175.879037271043
2025-01-07 01:00:00,-11013.312422808136
2025-01-07 02:00:00,-10524.01197209227
2025-01-07 03:00:00,-9763.18856972709
2025-01-07 04:00:00,-9383.248507411383
2025-01-07 05:00:00,-9919.193504045932
2025-01-07 06:00:00,-11028.465130825674
2025-01-07 07:00:00,-12226.289972302391
2025-01-07 08:00:00,-13442.285213869545
2025-01-07 09:00:00,-14504.10013086909
2025-01-07 10:00:00,-14946.549871856467
2025-01-07 11:00:00,-14507.70562429997
2025-01-07 12:00:00,-13476.635630311077
2025-01-07 13:00:00,-12424.803973204525
2025-01-07 14:00:00,-11729.685281959997
2025-01-07 15:00:00,-11461.163770853711
2025-01-07 16:00:00,-11641.053722750854
2025-01-07 17:00:00,-12468.913118237799
2025-01-07 18:00:00,-14089.063407431802
2025-01-07 19:00:00,-15954.800883814312
2025-01-07 20:00:00,-16815.141560829892
2025-01-07 21:00:00,-15954.652180766823
2025-01-07 22:00:00,-14087.809942807122
2025-01-07 23:00:00,-12460.739133548528
2025-01-08 00:00:00,-12261.374018454228
2025-01-08 01:00:00,-12083.017572737876
2025-01-08 02:00:00,-11546.192163871385
2025-01-08 03:00:00,-10711.471220017083
2025-01-08 04:00:00,-10294.628196474014
2025-01-08 05:00:00,-10882.628660253195
2025-01-08 06:00:00,-12099.64203867705
2025-01-08 07:00:00,-13413.809661730349
2025-01-08 08:00:00,-14747.912546326012
2025-01-08 09:00:00,-15912.859821818753
2025-01-08 10:00:00,-16398.283987606712
2025-01-08 11:00:00,-15916.815510971226
2025-01-08 12:00:00,-14785.599362931187
2025-01-08 13:00:00,-13631.60500515196
2025-01-08 14:00:00,-12868.970564304544
2025-01-08 15:00:00,-12574.367994905346
2025-01-08 16:00:00,-12771.730365687697
2025-01-08 17:00:00,-13679.99839980875
2025-01-08 18:00:00,-15457.511255456586
2025-01-08 19:00:00,-17504.464782949213
2025-01-08 20:00:00,-18448.368952723948
2025-01-08 21:00:00,-17504.301636616216
2025-01-08 22:00:00,-15456.136043848548
2025-01-08 23:00:00,-13671.030489261222
2025-01-09 00:00:00,-11096.534349556658
2025-01-09 01:00:00,-10935.121899094123
2025-01-09 02:00:00,-10449.295304110867
2025-01-09 03:00:00,-9693.873471954625
2025-01-09 04:00:00,-9316.630846278498
2025-01-09 05:00:00,-9848.770827822224
2025-01-09 06:00:00,-10950.16702838057
2025-01-09 07:00:00,-12139.487747929466
2025-01-09 08:00:00,-13346.849864318498
2025-01-09 09:00:00,-14401.126280523713
2025-01-09 10:00:00,-14840.434788824974
2025-01-09 11:00:00,-14404.706176258933
2025-01-09 12:00:00,-13380.956405262063
2025-01-09 13:00:00,-12336.592371425495
2025-01-09 14:00:00,-11646.408770771808
2025-01-09 15:00:00,-11379.793665002613
2025-01-09 16:00:00,-11558.406463486708
2025-01-09 17:00:00,-12380.388357527256
2025-01-09 18:00:00,-13989.036167290535
2025-01-09 19:00:00,-15841.527584286852
2025-01-09 20:00:00,-16695.76015453802
2025-01-09 21:00:00,-15841.379936977066
2025-01-09 22:00:00,-13987.791601810064
2025-01-09 23:00:00,-12372.272405164607
2025-01-10 00:00:00,-13430.9952779999
2025-01-10 01:00:00,-13235.625283037529
2025-01-10 02:00:00,-12647.591713492673
2025-01-10 03:00:00,-11733.246140273783
2025-01-10 04:00:00,-11276.640161820807
2025-01-10 05:00:00,-11920.730411461162
2025-01-10 06:00:00,-13253.835568703089
2025-01-10 07:00:00,-14693.36258363338
2025-01-10 08:00:00,-16154.72649899898
2025-01-10 09:00:00,-17430.798930417594
2025-01-10 10:00:00,-17962.528055449784
2025-01-10 11:00:00,-17435.131955594723
2025-01-10 12:00:00,-16196.008288063173
2025-01-10 13:00:00,-14931.933581032476
2025-01-10 14:00:00,-14096.550894031378
2025-01-10 15:00:00,-13773.845974294652
2025-01-10 16:00:00,-13990.034883143122
2025-01-10 17:00:00,-14984.943256305694
2025-01-10 18:00:00,-16932.014337805904
2025-01-10 19:00:00,-19174.228230038567
2025-01-10 20:00:00,-20208.172095387443
2025-01-10 21:00:00,-19174.04952105988
2025-01-10 22:00:00,-16930.507943776487
2025-01-10 23:00:00,-14975.119890340666
2025-01-11 00:00:00,-13154.81259492763
2025-01-11 01:00:00,-12963.460009567725
2025-01-11 02:00:00,-12387.518223663019
2025-01-11 03:00:00,-11491.974415200943
2025-01-11 04:00:00,-11044.757663802686
2025-01-11 05:00:00,-11675.603431585636
2025-01-11 06:00:00,-12981.295835600878
2025-01-11 07:00:00,-14391.221735713589
2025-01-11 08:00:00,-15822.535502245339
2025-01-11 09:00:00,-17072.367949164734
2025-01-11 10:00:00,-17593.163083574535
2025-01-11 11:00:00,-17076.611873981503
2025-01-11 12:00:00,-15862.968410416506
2025-01-11 13:00:00,-14624.886977671551
2025-01-11 14:00:00,-13806.682334971161
2025-01-11 15:00:00,-13490.613223581378
2025-01-11 16:00:00,-13702.356621753956
2025-01-11 17:00:00,-14676.806610543388
2025-01-11 18:00:00,-16583.839905990466
2025-01-11 19:00:00,-18779.946965783613
2025-01-11 20:00:00,-19792.62975665754
2025-01-11 21:00:00,-18779.77193161265
2025-01-11 22:00:00,-16582.364488067902
2025-01-11 23:00:00,-14667.185243277107
2025-01-12 00:00:00,-11650.298776348018
2025-01-12 01:00:00,-11480.83115565921
2025-01-12 02:00:00,-10970.759739958425
2025-01-12 03:00:00,-10177.639134050683
2025-01-12 04:00:00,-9781.570491188646
2025-01-12 05:00:00,-10340.266529116236
2025-01-12 06:00:00,-11496.627101113376
2025-01-12 07:00:00,-12745.300000882255
2025-01-12 08:00:00,-14012.914640198724
2025-01-12 09:00:00,-15119.80394948464
2025-01-12 10:00:00,-15581.035827427317
2025-01-12 11:00:00,-15123.562497296924
2025-01-12 12:00:00,-14048.72324311051
2025-01-12 13:00:00,-12952.240986381936
2025-01-12 14:00:00,-12227.614278181607
2025-01-12 15:00:00,-11947.693940655425
2025-01-12 16:00:00,-12135.220280147403
2025-01-12 17:00:00,-12998.222579122255
2025-01-12 18:00:00,-14687.14878069877
2025-01-12 19:00:00,-16632.087426293976
2025-01-12 20:00:00,-17528.94984787621
2025-01-12 21:00:00,-16631.932410753237
2025-01-12 22:00:00,-14685.84210608871
2025-01-12 23:00:00,-12989.70160609582
2025-01-13 00:00:00,-11521.079099383409
2025-01-13 01:00:00,-11353.49113445466
2025-01-13 02:00:00,-10849.077192852268
2025-01-13 03:00:00,-10064.753510564842
2025-01-13 04:00:00,-9673.077876248673
2025-01-13 05:00:00,-10225.577118460691
2025-01-13 06:00:00,-11369.111878653635
2025-01-13 07:00:00,-12603.935081359796
2025-01-13 08:00:00,-13857.48993067838
2025-01-13 09:00:00,-14952.102140318413
2025-01-13 10:00:00,-15408.218249522652
2025-01-13 11:00:00,-14955.819000072437
2025-01-13 12:00:00,-13892.901361278138
2025-01-13 13:00:00,-12808.580774025331
2025-01-13 14:00:00,-12091.991287097273
2025-01-13 15:00:00,-11815.175695319278
2025-01-13 16:00:00,-12000.622080170033
2025-01-13 17:00:00,-12854.052360398066
2025-01-13 18:00:00,-14524.245780749447
2025-01-13 19:00:00,-16447.612074568573
2025-01-13 20:00:00,-17334.52691672616
2025-01-13 21:00:00,-16447.458778387867
2025-01-13 22:00:00,-14522.95359916435
2025-01-13 23:00:00,-12845.6258980278
2025-01-14 00:00:00,-12717.593467704493
2025-01-14 01:00:00,-12532.600760887837
2025-01-14 02:00:00,-11975.801229055358
2025-01-14 03:00:00,-11110.02210781329
2025-01-14 04:00:00,-10677.66924872174
2025-01-14 05:00:00,-11287.547949584343
2025-01-14 06:00:00,-12549.843787575868
2025-01-14 07:00:00,-13912.90877142328
2025-01-14 08:00:00,-15296.650765170767
2025-01-14 09:00:00,-16504.943232126636
2025-01-14 10:00:00,-17008.428990786262
2025-01-14 11:00:00,-16509.046103994835
2025-01-14 12:00:00,-15335.739827453284
2025-01-14 13:00:00,-14138.807812805295
2025-01-14 14:00:00,-13347.797378854735
2025-01-14 15:00:00,-13042.233279225995
2025-01-14 16:00:00,-13246.939080847787
2025-01-14 17:00:00,-14189.001821962907
2025-01-14 18:00:00,-16032.652121490884
2025-01-14 19:00:00,-18155.768402810943
2025-01-14 20:00:00,-19134.793223813795
2025-01-14 21:00:00,-18155.59918615254
2025-01-14 22:00:00,-16031.225741206197
2025-01-14 23:00:00,-14179.700234683492
2025-01-15 00:00:00,-11585.203205163845
2025-01-15 01:00:00,-11416.682477921959
2025-01-15 02:00:00,-10909.461065537582
2025-01-15 03:00:00,-10120.77198879923
2025-01-15 04:00:00,-9726.916363391094
2025-01-15 05:00:00,-10282.490709900687
2025-01-15 06:00:00,-11432.390164172519
2025-01-15 07:00:00,-12674.086154834338
2025-01-15 08:00:00,-13934.618048843431
2025-01-15 09:00:00,-15035.322659074942
2025-01-15 10:00:00,-15493.977422634596
2025-01-15 11:00:00,-15039.060206153994
2025-01-15 12:00:00,-13970.226572640973
2025-01-15 13:00:00,-12879.870865983368
2025-01-15 14:00:00,-12159.292980081174
2025-01-15 15:00:00,-11880.93668607071
2025-01-15 16:00:00,-12067.415229757995
2025-01-15 17:00:00,-12925.595538442
2025-01-15 18:00:00,-14605.08493347045
2025-01-15 19:00:00,-16539.15631338572
2025-01-15 20:00:00,-17431.007552617422
2025-01-15 21:00:00,-16539.002163988018
2025-01-15 22:00:00,-14603.785559851698
2025-01-15 23:00:00,-12917.122176006233
2025-01-16 00:00:00,-10545.030944151009
2025-01-16 01:00:00,-10391.640774636808
2025-01-16 02:00:00,-9929.96000871419
2025-01-16 03:00:00,-9212.083026132412
