,demand
2025-01-01 00:00:00,-11616.44391523815
2025-01-01 01:00:00,-11447.4687542597
2025-01-01 02:00:00,-10938.879566376945
2025-01-01 03:00:00,-10148.063707194748
2025-01-01 04:00:00,-9753.146008969536
2025-01-01 05:00:00,-10310.218519712993
2025-01-01 06:00:00,-11463.218797926305
2025-01-01 07:00:00,-12708.263151474623
2025-01-01 08:00:00,-13972.194201350276
2025-01-01 09:00:00,-15075.866976489793
2025-01-01 10:00:00,-15535.758550508343
2025-01-01 11:00:00,-15079.614602254791
2025-01-01 12:00:00,-14007.898747250189
2025-01-01 13:00:00,-12914.602782583612
2025-01-01 14:00:00,-12192.081783175268
2025-01-01 15:00:00,-11912.974872354334
2025-01-01 16:00:00,-12099.956274905226
2025-01-01 17:00:00,-12960.45075639572
2025-01-01 18:00:00,-14644.469069936325
2025-01-01 19:00:00,-16583.755875267358
2025-01-01 20:00:00,-17478.01208448541
2025-01-01 21:00:00,-16583.601310189704
2025-01-01 22:00:00,-14643.166192420944
2025-01-01 23:00:00,-12951.954544653428
2025-01-02 00:00:00,-11625.371728008711
2025-01-02 01:00:00,-11456.266701245946
2025-01-02 02:00:00,-10947.286637370527
2025-01-02 03:00:00,-10155.86299701379
2025-01-02 04:00:00,-9760.641784968408
2025-01-02 05:00:00,-10318.142433540599
2025-01-02 06:00:00,-11472.028849601556
2025-01-02 07:00:00,-12718.030081430406
2025-01-02 08:00:00,-13982.932524948603
2025-01-02 09:00:00,-15087.453527305355
2025-01-02 10:00:00,-15547.698550787232
2025-01-02 11:00:00,-15091.204033306454
2025-01-02 12:00:00,-14018.664511561281
2025-01-02 13:00:00,-12924.528294770511
2025-01-02 14:00:00,-12201.452002171534
2025-01-02 15:00:00,-11922.130583859238
2025-01-02 16:00:00,-12109.255690883352
2025-01-02 17:00:00,-12970.411505022366
2025-01-02 18:00:00,-14655.724070083937
2025-01-02 19:00:00,-16596.501313421017
2025-01-02 20:00:00,-17491.44480284832
2025-01-02 21:00:00,-16596.34662955245
2025-01-02 22:00:00,-14654.42019124262
2025-01-02 23:00:00,-12961.908763520343
2025-01-03 00:00:00,-11634.55082362944
2025-01-03 01:00:00,-11465.312275870796
2025-01-03 02:00:00,-10955.93033437936
2025-01-03 03:00:00,-10163.881806196126
2025-01-03 04:00:00,-9768.348537609105
2025-01-03 05:00:00,-10326.289374407672
2025-01-03 06:00:00,-11481.086869614848
2025-01-03 07:00:00,-12728.071912088046
2025-01-03 08:00:00,-13993.973090163003
2025-01-03 09:00:00,-15099.36619400029
2025-01-03 10:00:00,-15559.974615159103
2025-01-03 11:00:00,-15103.119661304823
2025-01-03 12:00:00,-14029.733289836693
2025-01-03 13:00:00,-12934.733171125967
2025-01-03 14:00:00,-12211.085956014906
2025-01-03 15:00:00,-11931.543992668217
2025-01-03 16:00:00,-12118.816848881825
2025-01-03 17:00:00,-12980.6526095849
2025-01-03 18:00:00,-14667.295854262351
2025-01-03 19:00:00,-16609.605485579094
2025-01-03 20:00:00,-17505.255599453067
2025-01-03 21:00:00,-16609.450679576108
2025-01-03 22:00:00,-14665.990945911713
2025-01-03 23:00:00,-12972.143154536061
2025-01-04 00:00:00,-10246.701064279865
2025-01-04 01:00:00,-10097.650462007046
2025-01-04 02:00:00,-9649.031124558744
2025-01-04 03:00:00,-8951.463627564077
2025-01-04 04:00:00,-8603.11230522876
2025-01-04 05:00:00,-9094.498096815825
2025-01-04 06:00:00,-10111.543353013847
2025-01-04 07:00:00,-11209.779387696037
2025-01-04 08:00:00,-12324.67511038345
2025-01-04 09:00:00,-13298.209273003036
2025-01-04 10:00:00,-13703.873133245812
2025-01-04 11:00:00,-13301.515000745097
2025-01-04 12:00:00,-12356.16958589952
2025-01-04 13:00:00,-11391.788661197894
2025-01-04 14:00:00,-10754.463095162118
2025-01-04 15:00:00,-10508.266832258874
2025-01-04 16:00:00,-10673.200485836409
2025-01-04 17:00:00,-11432.230511172254
2025-01-04 18:00:00,-12917.679274281922
2025-01-04 19:00:00,-14628.296767649466
2025-01-04 20:00:00,-15417.107536039051
2025-01-04 21:00:00,-14628.160427978117
2025-01-04 22:00:00,-12916.530024432232
2025-01-04 23:00:00,-11424.736122826102
2025-01-05 00:00:00,-10255.213680721092
2025-01-05 01:00:00,-10106.039252194389
2025-01-05 02:00:00,-9657.047216809076
2025-01-05 03:00:00,-8958.900204075
2025-01-05 04:00:00,-8610.259483115167
2025-01-05 05:00:00,-9102.053501578588
2025-01-05 06:00:00,-10119.943684950253
2025-01-05 07:00:00,-11219.092097388615
2025-01-05 08:00:00,-12334.914038143641
2025-01-05 09:00:00,-13309.256980375987
2025-01-05 10:00:00,-13715.257852582386
2025-01-05 11:00:00,-13312.565454406065
2025-01-05 12:00:00,-12366.434678216323
2025-01-05 13:00:00,-11401.252578105781
2025-01-05 14:00:00,-10763.397543311445
2025-01-05 15:00:00,-10516.99674878947
2025-01-05 16:00:00,-10682.067423728548
2025-01-05 17:00:00,-11441.728025816123
2025-01-05 18:00:00,-12928.410850062546
2025-01-05 19:00:00,-14640.449467214945
2025-01-05 20:00:00,-15429.915553201274
2025-01-05 21:00:00,-14640.31301427716
2025-01-05 22:00:00,-12927.260645454531
2025-01-05 23:00:00,-11434.227411382857
2025-01-06 00:00:00,-11663.568240506389
2025-01-06 01:00:00,-11493.907599487213
2025-01-06 02:00:00,-10983.255222345111
2025-01-06 03:00:00,-10189.231267462776
2025-01-06 04:00:00,-9792.711510104738
2025-01-06 05:00:00,-10352.04389197449
2025-01-06 06:00:00,-11509.72153621663
2025-01-06 07:00:00,-12759.816650179933
2025-01-06 08:00:00,-14028.875077964487
2025-01-06 09:00:00,-15137.025112687477
2025-01-06 10:00:00,-15598.782324786003
2025-01-06 11:00:00,-15140.787941412762
2025-01-06 12:00:00,-14064.7244661799
2025-01-06 13:00:00,-12966.993337445097
2025-01-06 14:00:00,-12241.541293490103
2025-01-06 15:00:00,-11961.302132133107
2025-01-06 16:00:00,-12149.04206048563
2025-01-06 17:00:00,-13013.027302326984
2025-01-06 18:00:00,-14703.877158062776
2025-01-06 19:00:00,-16651.031051021455
2025-01-06 20:00:00,-17548.914981492573
2025-01-06 21:00:00,-16650.875858921023
2025-01-06 22:00:00,-14702.568995175701
2025-01-06 23:00:00,-13004.496624077676
2025-01-07 00:00:00,-11673.724535501617
2025-01-07 01:00:00,-11503.916158945274
2025-01-07 02:00:00,-10992.81912060899
2025-01-07 03:00:00,-10198.10375282858
2025-01-07 04:00:00,-9801.238717632394
2025-01-07 05:00:00,-10361.058149824443
2025-01-07 06:00:00,-11519.7438659895
2025-01-07 07:00:00,-12770.92752631252
2025-01-07 08:00:00,-14041.091013157302
2025-01-07 09:00:00,-15150.205992605572
