,demand
2025-01-01 00:00:00,-726.0277447023842
2025-01-01 01:00:00,-715.4667971412313
2025-01-01 02:00:00,-683.6799728985591
2025-01-01 03:00:00,-634.2539816996717
2025-01-01 04:00:00,-609.571625560596
2025-01-01 05:00:00,-644.388657482062
2025-01-01 06:00:00,-716.4511748703941
2025-01-01 07:00:00,-794.2664469671639
2025-01-01 08:00:00,-873.2621375843923
2025-01-01 09:00:00,-942.2416860306121
2025-01-01 10:00:00,-970.9849094067713
2025-01-01 11:00:00,-942.4759126409244
2025-01-01 12:00:00,-875.4936717031369
2025-01-01 13:00:00,-807.1626739114757
2025-01-01 14:00:00,-762.0051114484543
2025-01-01 15:00:00,-744.5609295221459
2025-01-01 16:00:00,-756.2472671815766
2025-01-01 17:00:00,-810.0281722747326
2025-01-01 18:00:00,-915.2793168710203
2025-01-01 19:00:00,-1036.4847422042099
2025-01-01 20:00:00,-1092.3757552803381
2025-01-01 21:00:00,-1036.4750818868567
2025-01-01 22:00:00,-915.197887026309
2025-01-01 23:00:00,-809.4971590408393
2025-01-02 00:00:00,-726.5857330005445
2025-01-02 01:00:00,-716.0166688278715
2025-01-02 02:00:00,-684.205414835658
2025-01-02 03:00:00,-634.7414373133619
2025-01-02 04:00:00,-610.0401115605255
2025-01-02 05:00:00,-644.8839020962876
2025-01-02 06:00:00,-717.0018031000973
2025-01-02 07:00:00,-794.8768800894004
2025-01-02 08:00:00,-873.9332828092877
2025-01-02 09:00:00,-942.9658454565846
2025-01-02 10:00:00,-971.731159424202
2025-01-02 11:00:00,-943.2002520816534
2025-01-02 12:00:00,-876.1665319725801
2025-01-02 13:00:00,-807.7830184231568
2025-01-02 14:00:00,-762.5907501357209
2025-01-02 15:00:00,-745.1331614912024
2025-01-02 16:00:00,-756.8284806802094
2025-01-02 17:00:00,-810.6507190638979
2025-01-02 18:00:00,-915.9827543802461
2025-01-02 19:00:00,-1037.2813320888135
2025-01-02 20:00:00,-1093.21530017802
2025-01-02 21:00:00,-1037.271664347028
2025-01-02 22:00:00,-915.9012619526637
2025-01-02 23:00:00,-810.1192977200215
2025-01-03 00:00:00,-727.15942647684
2025-01-03 01:00:00,-716.5820172419246
2025-01-03 02:00:00,-684.74564589871
2025-01-03 03:00:00,-635.2426128872579
2025-01-03 04:00:00,-610.5217836005689
2025-01-03 05:00:00,-645.3930859004795
2025-01-03 06:00:00,-717.5679293509279
2025-01-03 07:00:00,-795.5044945055029
2025-01-03 08:00:00,-874.6233181351876
2025-01-03 09:00:00,-943.7103871250182
2025-01-03 10:00:00,-972.4984134474439
2025-01-03 11:00:00,-943.9449788315515
2025-01-03 12:00:00,-876.8583306147933
2025-01-03 13:00:00,-808.4208231953729
2025-01-03 14:00:00,-763.1928722509317
2025-01-03 15:00:00,-745.7214995417635
2025-01-03 16:00:00,-757.426053055114
2025-01-03 17:00:00,-811.2907880990562
2025-01-03 18:00:00,-916.7059908913968
2025-01-03 19:00:00,-1038.1003428486933
2025-01-03 20:00:00,-1094.0784749658167
2025-01-03 21:00:00,-1038.0906674735068
2025-01-03 22:00:00,-916.624434119482
2025-01-03 23:00:00,-810.7589471585038
2025-01-04 00:00:00,-640.4188165174916
2025-01-04 01:00:00,-631.1031538754403
2025-01-04 02:00:00,-603.0644452849215
2025-01-04 03:00:00,-559.4664767227548
2025-01-04 04:00:00,-537.6945190767975
2025-01-04 05:00:00,-568.406131050989
2025-01-04 06:00:00,-631.9714595633654
2025-01-04 07:00:00,-700.6112117310024
2025-01-04 08:00:00,-770.2921943989656
2025-01-04 09:00:00,-831.1380795626898
2025-01-04 10:00:00,-856.4920708278632
2025-01-04 11:00:00,-831.3446875465686
2025-01-04 12:00:00,-772.26059911872
2025-01-04 13:00:00,-711.9867913248684
2025-01-04 14:00:00,-672.1539434476324
2025-01-04 15:00:00,-656.7666770161795
2025-01-04 16:00:00,-667.0750303647757
2025-01-04 17:00:00,-714.5144069482659
2025-01-04 18:00:00,-807.3549546426201
2025-01-04 19:00:00,-914.2685479780916
2025-01-04 20:00:00,-963.5692210024407
2025-01-04 21:00:00,-914.2600267486322
2025-01-04 22:00:00,-807.2831265270144
2025-01-04 23:00:00,-714.0460076766313
2025-01-05 00:00:00,-640.9508550450682
2025-01-05 01:00:00,-631.6274532621493
2025-01-05 02:00:00,-603.5654510505672
2025-01-05 03:00:00,-559.9312627546875
2025-01-05 04:00:00,-538.141217694698
2025-01-05 05:00:00,-568.8783438486618
2025-01-05 06:00:00,-632.4964803093907
2025-01-05 07:00:00,-701.1932560867884
2025-01-05 08:00:00,-770.9321273839776
2025-01-05 09:00:00,-831.8285612734992
2025-01-05 10:00:00,-857.2036157863992
2025-01-05 11:00:00,-832.0353409003791
2025-01-05 12:00:00,-772.9021673885203
2025-01-05 13:00:00,-712.5782861316114
2025-01-05 14:00:00,-672.7123464569653
2025-01-05 15:00:00,-657.3122967993418
2025-01-05 16:00:00,-667.6292139830343
2025-01-05 17:00:00,-715.1080016135076
2025-01-05 18:00:00,-808.0256781289092
2025-01-05 19:00:00,-915.0280917009339
2025-01-05 20:00:00,-964.3697220750796
2025-01-05 21:00:00,-915.0195633923225
2025-01-05 22:00:00,-807.9537903409082
2025-01-05 23:00:00,-714.6392132114286
2025-01-06 00:00:00,-728.9730150316494
2025-01-06 01:00:00,-718.3692249679508
2025-01-06 02:00:00,-686.4534513965694
2025-01-06 03:00:00,-636.8269542164235
2025-01-06 04:00:00,-612.0444693815462
2025-01-06 05:00:00,-647.0027432484055
2025-01-06 06:00:00,-719.3575960135393
2025-01-06 07:00:00,-797.4885406362458
2025-01-06 08:00:00,-876.8046923727806
2025-01-06 09:00:00,-946.0640695429673
2025-01-06 10:00:00,-974.9238952991252
2025-01-06 11:00:00,-946.2992463382975
2025-01-06 12:00:00,-879.0452791362437
2025-01-06 13:00:00,-810.4370835903186
2025-01-06 14:00:00,-765.0963308431313
2025-01-06 15:00:00,-747.5813832583192
2025-01-06 16:00:00,-759.3151287803519
2025-01-06 17:00:00,-813.3142063954365
2025-01-06 18:00:00,-918.9923223789235
2025-01-06 19:00:00,-1040.689440688841
2025-01-06 20:00:00,-1096.8071863432858
2025-01-06 21:00:00,-1040.679741182564
2025-01-06 22:00:00,-918.9105621984813
2025-01-06 23:00:00,-812.7810390048547
2025-01-07 00:00:00,-729.607783468851
2025-01-07 01:00:00,-718.9947599340796
2025-01-07 02:00:00,-687.0511950380619
2025-01-07 03:00:00,-637.3814845517862
2025-01-07 04:00:00,-612.5774198520247
2025-01-07 05:00:00,-647.5661343640276
2025-01-07 06:00:00,-719.9839916243436
2025-01-07 07:00:00,-798.1829703945325
2025-01-07 08:00:00,-877.5681883223314
2025-01-07 09:00:00,-946.8878745378482
2025-01-07 10:00:00,-975.7728305884276
2025-01-07 11:00:00,-947.1232561182717
2025-01-07 12:00:00,-879.8107261233897
2025-01-07 13:00:00,-811.1427885620981
2025-01-07 14:00:00,-765.7625544100174
2025-01-07 15:00:00,-748.2323553197629
2025-01-07 16:00:00,-759.9763182451204
2025-01-07 17:00:00,-814.0224166818284
2025-01-07 18:00:00,-919.7925540860622
2025-01-07 19:00:00,-1041.5956426966745
2025-01-07 20:00:00,-1097.7622540470697
2025-01-07 21:00:00,-1041.5859347443507
2025-01-07 22:00:00,-919.7107227112397
2025-01-07 23:00:00,-813.4887850246355
2025-01-08 00:00:00,-730.2573615854133
2025-01-08 01:00:00,-719.6348891549544
2025-01-08 02:00:00,-687.6628845394167
2025-01-08 03:00:00,-637.9489525443811
2025-01-08 04:00:00,-613.1228045034111
2025-01-08 05:00:00,-648.1426698663076
2025-01-08 06:00:00,-720.6250015694552
2025-01-08 07:00:00,-798.8936017807764
2025-01-08 08:00:00,-878.3494972719358
2025-01-08 09:00:00,-947.7308995933287
2025-01-08 10:00:00,-976.6415722491494
2025-01-08 11:00:00,-947.9664907366533
2025-01-08 12:00:00,-880.5940316299309
2025-01-08 13:00:00,-811.8649582220104
2025-01-08 14:00:00,-766.4443215307881
2025-01-08 15:00:00,-748.8985151046936
2025-01-08 16:00:00,-760.6529338139544
2025-01-08 17:00:00,-814.7471501074417
2025-01-08 18:00:00,-920.6114558692511
2025-01-08 19:00:00,-1042.522987156441
2025-01-08 20:00:00,-1098.7396042804057
2025-01-08 21:00:00,-1042.5132705610165
2025-01-08 22:00:00,-920.529551639024
2025-01-08 23:00:00,-814.2130433519088
2025-01-09 00:00:00,-730.9215568973212
2025-01-09 01:00:00,-720.289422946472
2025-01-09 02:00:00,-688.2883386438334
2025-01-09 03:00:00,-638.5291900411955
2025-01-09 04:00:00,-613.6804617264631
2025-01-09 05:00:00,-648.732178915334
2025-01-09 06:00:00,-721.2804359037931
2025-01-09 07:00:00,-799.6202242195617
2025-01-09 08:00:00,-879.1483877028904
2025-01-09 09:00:00,-948.5928949028913
2025-01-09 10:00:00,-977.5298628543875
2025-01-09 11:00:00,-948.8287003248265
2025-01-09 12:00:00,-881.3949635455407
2025-01-09 13:00:00,-812.6033785755999
2025-01-09 14:00:00,-767.1414301831323
2025-01-09 15:00:00,-749.5796652155908
2025-01-09 16:00:00,-761.3447749910587
2025-01-09 17:00:00,-815.488191918122
2025-01-09 18:00:00,-921.4487850702188
2025-01-09 19:00:00,-1043.4711992759633
2025-01-09 20:00:00,-1099.7389474333268
2025-01-09 21:00:00,-1043.461473842946
2025-01-09 22:00:00,-921.3668063451512
2025-01-09 23:00:00,-814.9535993733019
2025-01-10 00:00:00,-731.6001725891693
2025-01-10 01:00:00,-720.9581673561437
2025-01-10 02:00:00,-688.9273720157624
2025-01-10 03:00:00,-639.1220251053361
2025-01-10 04:00:00,-614.2502262753102
2025-01-10 05:00:00,-649.3344868268524
2025-01-10 06:00:00,-721.9501004080184
2025-01-10 07:00:00,-800.3626223969774
2025-01-10 08:00:00,-879.9646228867186
2025-01-10 09:00:00,-949.4736050387221
2025-01-10 10:00:00,-978.4374391844646
2025-01-10 11:00:00,-949.7096293914824
2025-01-10 12:00:00,-882.2132845368067
2025-01-10 13:00:00,-813.3578308129797
2025-01-10 14:00:00,-767.8536737987112
2025-01-10 15:00:00,-750.2756038129758
2025-01-10 16:00:00,-762.051636768961
