,demand
2025-01-01 00:00:00,-2191.1996309990404
2025-01-01 01:00:00,-2159.325994532869
2025-01-01 02:00:00,-2063.3912619287776
2025-01-01 03:00:00,-1914.2203597600744
2025-01-01 04:00:00,-1839.7273805884583
2025-01-01 05:00:00,-1944.807479875948
2025-01-01 06:00:00,-2162.296911460829
2025-01-01 07:00:00,-2397.1485362763897
2025-01-01 08:00:00,-2635.5627420612404
2025-01-01 09:00:00,-2843.747569989265
2025-01-01 10:00:00,-2930.496514385847
2025-01-01 11:00:00,-2844.4544813515804
2025-01-01 12:00:00,-2642.297659250334
2025-01-01 13:00:00,-2436.0701999839384
2025-01-01 14:00:00,-2299.78169733677
2025-01-01 15:00:00,-2247.134005455964
2025-01-01 16:00:00,-2282.4041434829505
2025-01-01 17:00:00,-2444.718463086846
2025-01-01 18:00:00,-2762.373361104761
2025-01-01 19:00:00,-3128.1793309221207
2025-01-01 20:00:00,-3296.8620956266263
2025-01-01 21:00:00,-3128.150175447039
2025-01-01 22:00:00,-2762.1276004613333
2025-01-01 23:00:00,-2443.1158301149617
2025-01-02 00:00:00,-1921.857876564124
2025-01-02 01:00:00,-1893.9021401580692
2025-01-02 02:00:00,-1809.7596828105457
2025-01-02 03:00:00,-1678.9248336113471
2025-01-02 04:00:00,-1613.5885142982488
2025-01-02 05:00:00,-1705.7521919608475
2025-01-02 06:00:00,-1896.5078726608692
2025-01-02 07:00:00,-2102.4915897947944
2025-01-02 08:00:00,-2311.599976265035
2025-01-02 09:00:00,-2494.1947730486577
2025-01-02 10:00:00,-2570.2805571614376
2025-01-02 11:00:00,-2494.814791028982
2025-01-02 12:00:00,-2317.5070389829875
2025-01-02 13:00:00,-2136.6290115555066
2025-01-02 14:00:00,-2017.0930602929695
2025-01-02 15:00:00,-1970.91681058362
2025-01-02 16:00:00,-2001.851551360188
2025-01-02 17:00:00,-2144.2142321478195
2025-01-02 18:00:00,-2422.82306319557
2025-01-02 19:00:00,-2743.664247377012
2025-01-02 20:00:00,-2891.612565458902
2025-01-02 21:00:00,-2743.6386756862184
2025-01-02 22:00:00,-2422.6075113938814
2025-01-02 23:00:00,-2142.8085944520644
2025-01-03 00:00:00,-1839.10259894938
2025-01-03 01:00:00,-1812.350637679572
2025-01-03 02:00:00,-1731.831357936331
2025-01-03 03:00:00,-1606.6302626162276
2025-01-03 04:00:00,-1544.1073278457716
2025-01-03 05:00:00,-1632.3024338340697
2025-01-03 06:00:00,-1814.844167235792
2025-01-03 07:00:00,-2011.958217208892
2025-01-03 08:00:00,-2212.062388130762
2025-01-03 09:00:00,-2386.794645606405
2025-01-03 10:00:00,-2459.6041727890697
2025-01-03 11:00:00,-2387.38796558751
2025-01-03 12:00:00,-2217.715092490028
2025-01-03 13:00:00,-2044.6256802128669
2025-01-03 14:00:00,-1930.236951828933
2025-01-03 15:00:00,-1886.0490532929464
2025-01-03 16:00:00,-1915.6517428850216
2025-01-03 17:00:00,-2051.884280900794
2025-01-03 18:00:00,-2318.4962044558342
2025-01-03 19:00:00,-2625.521954316688
2025-01-03 20:00:00,-2767.099611859729
2025-01-03 21:00:00,-2625.49748374393
2025-01-03 22:00:00,-2318.289934323413
2025-01-03 23:00:00,-2050.5391700208647
2025-01-04 00:00:00,-2038.4193991936768
2025-01-04 01:00:00,-2008.768135120641
2025-01-04 02:00:00,-1919.5224008524776
2025-01-04 03:00:00,-1780.7523606999655
2025-01-04 04:00:00,-1711.4533649813875
2025-01-04 05:00:00,-1809.20681009271
2025-01-04 06:00:00,-2011.5319064419173
2025-01-04 07:00:00,-2230.008626309713
2025-01-04 08:00:00,-2451.79952807872
2025-01-04 09:00:00,-2645.468779324805
2025-01-04 10:00:00,-2726.1691995950223
2025-01-04 11:00:00,-2646.126401667411
2025-01-04 12:00:00,-2458.064856739784
2025-01-04 13:00:00,-2266.2164976638105
2025-01-04 14:00:00,-2139.4306385605105
