,peninsular
2025-01-01 00:00:00,-31722.908118645195
2025-01-01 01:00:00,-31261.46023105019
2025-01-01 02:00:00,-29872.573219236103
2025-01-01 03:00:00,-27712.96404601091
2025-01-01 04:00:00,-26634.498213727125
2025-01-01 05:00:00,-28155.786501492712
2025-01-01 06:00:00,-31304.471430669124
2025-01-01 07:00:00,-34704.516050128
2025-01-01 08:00:00,-38156.13763553519
2025-01-01 09:00:00,-41170.11594888749
2025-01-01 10:00:00,-42426.01648553899
2025-01-01 11:00:00,-41180.350198600536
2025-01-01 12:00:00,-38253.64183193691
2025-01-01 13:00:00,-35268.001158537045
2025-01-01 14:00:00,-33294.89583945087
2025-01-01 15:00:00,-32532.693314146476
2025-01-01 16:00:00,-33043.313767040534
2025-01-01 17:00:00,-35393.20565926722
2025-01-01 18:00:00,-39992.027692960946
2025-01-01 19:00:00,-45287.952813428936
2025-01-01 20:00:00,-47730.04333325999
2025-01-01 21:00:00,-45287.53071749387
2025-01-01 22:00:00,-39988.469713943276
2025-01-01 23:00:00,-35370.00367538783
2025-01-02 00:00:00,-27488.67120949322
2025-01-02 01:00:00,-27088.81539504603
2025-01-02 02:00:00,-25885.31102930179
2025-01-02 03:00:00,-24013.957171018505
2025-01-02 04:00:00,-23079.440305053828
2025-01-02 05:00:00,-24397.67359567268
2025-01-02 06:00:00,-27126.08564530898
2025-01-02 07:00:00,-30072.306978244676
2025-01-02 08:00:00,-33063.221006239546
2025-01-02 09:00:00,-35674.906497948585
2025-01-02 10:00:00,-36763.174849473005
2025-01-02 11:00:00,-35683.774724164956
2025-01-02 12:00:00,-33147.710763181385
2025-01-02 13:00:00,-30560.580525504924
2025-01-02 14:00:00,-28850.836791569534
2025-01-02 15:00:00,-28190.36977086712
2025-01-02 16:00:00,-28632.834808749234
2025-01-02 17:00:00,-30669.073269664717
2025-01-02 18:00:00,-34654.0643796342
2025-01-02 19:00:00,-39243.11226396346
2025-01-02 20:00:00,-41359.243077455954
2025-01-02 21:00:00,-39242.746507572694
2025-01-02 22:00:00,-34650.981304305125
2025-01-02 23:00:00,-30648.968186490023
2025-01-03 00:00:00,-27995.334683703917
2025-01-03 01:00:00,-27588.108839087312
2025-01-03 02:00:00,-26362.421818585815
2025-01-03 03:00:00,-24456.575691102265
2025-01-03 04:00:00,-23504.834072496422
2025-01-03 05:00:00,-24847.364669222035
2025-01-03 06:00:00,-27626.066044144798
2025-01-03 07:00:00,-30626.591301957866
2025-01-03 08:00:00,-33672.63301804433
2025-01-03 09:00:00,-36332.456363878446
2025-01-03 10:00:00,-37440.783372282094
2025-01-03 11:00:00,-36341.48804675196
2025-01-03 12:00:00,-33758.680066477675
2025-01-03 13:00:00,-31123.86457022808
2025-01-03 14:00:00,-29382.607319555416
2025-01-03 15:00:00,-28709.9667560593
2025-01-03 16:00:00,-29160.58718536073
2025-01-03 17:00:00,-31234.357022204367
2025-01-03 18:00:00,-35292.798370095086
2025-01-03 19:00:00,-39966.430297307816
2025-01-03 20:00:00,-42121.56504015278
2025-01-03 21:00:00,-39966.057799397895
2025-01-03 22:00:00,-35289.658468386675
2025-01-03 23:00:00,-31213.881367778224
2025-01-04 00:00:00,-24033.637193540148
2025-01-04 01:00:00,-23684.039008130872
2025-01-04 02:00:00,-22631.802358832603
2025-01-04 03:00:00,-20995.657805028943
2025-01-04 04:00:00,-20178.599783683672
2025-01-04 05:00:00,-21331.14515052697
2025-01-04 06:00:00,-23716.62478378025
2025-01-04 07:00:00,-26292.537386758
2025-01-04 08:00:00,-28907.525287703666
2025-01-04 09:00:00,-31190.94965161727
2025-01-04 10:00:00,-32142.434229770246
2025-01-04 11:00:00,-31198.70323598701
2025-01-04 12:00:00,-28981.395579557175
2025-01-04 13:00:00,-26719.44013504373
2025-01-04 14:00:00,-25224.59302940623
2025-01-04 15:00:00,-24647.139698436265
2025-01-04 16:00:00,-25033.991580444013
2025-01-04 17:00:00,-26814.296493555797
2025-01-04 18:00:00,-30298.41654528875
2025-01-04 19:00:00,-34310.66985048537
2025-01-04 20:00:00,-36160.82549598582
2025-01-04 21:00:00,-34310.350065788254
2025-01-04 22:00:00,-30295.720979783426
2025-01-04 23:00:00,-26796.71840580161
2025-01-05 00:00:00,-30694.634846685512
2025-01-05 01:00:00,-30248.14443169806
2025-01-05 02:00:00,-28904.277106814272
2025-01-05 03:00:00,-26814.669976983114
2025-01-05 04:00:00,-25771.161771721156
2025-01-05 05:00:00,-27243.13868868164
2025-01-05 06:00:00,-30289.76145689899
2025-01-05 07:00:00,-33579.596287501685
2025-01-05 08:00:00,-36919.33625701418
2025-01-05 09:00:00,-39835.61881907233
2025-01-05 10:00:00,-41050.810321443336
2025-01-05 11:00:00,-39845.52133358004
2025-01-05 12:00:00,-37013.67993109906
2025-01-05 13:00:00,-34124.81646654305
2025-01-05 14:00:00,-32215.667814190903
2025-01-05 15:00:00,-31478.1714880048
2025-01-05 16:00:00,-31972.240578020544
2025-01-05 17:00:00,-34245.962561242246
2025-01-05 18:00:00,-38695.71737316485
2025-01-05 19:00:00,-43819.9792201615
2025-01-05 20:00:00,-46182.911284536436
2025-01-05 21:00:00,-43819.570806136246
2025-01-05 22:00:00,-38692.2747232561
2025-01-05 23:00:00,-34223.51265153555
2025-01-06 00:00:00,-24225.169331057703
2025-01-06 01:00:00,-23872.785080135967
2025-01-06 02:00:00,-22812.16280310306
2025-01-06 03:00:00,-21162.97926310042
2025-01-06 04:00:00,-20339.409831599303
2025-01-06 05:00:00,-21501.140220082052
2025-01-06 06:00:00,-23905.630542790375
2025-01-06 07:00:00,-26502.071459603165
2025-01-06 08:00:00,-29137.899078574756
2025-01-06 09:00:00,-31439.52081917996
2025-01-06 10:00:00,-32398.588097928812
2025-01-06 11:00:00,-31447.33619447114
2025-01-06 12:00:00,-29212.35806762728
2025-01-06 13:00:00,-26932.376339461116
2025-01-06 14:00:00,-25425.616294508654
2025-01-06 15:00:00,-24843.56104374157
2025-01-06 16:00:00,-25233.49587849871
2025-01-06 17:00:00,-27027.988640195203
2025-01-06 18:00:00,-30539.874816360414
2025-01-06 19:00:00,-34584.103117502
2025-01-06 20:00:00,-36449.00327556496
2025-01-06 21:00:00,-34583.78078433309
2025-01-06 22:00:00,-30537.15776898704
2025-01-06 23:00:00,-27010.27046674802
2025-01-07 00:00:00,-26411.340079605954
2025-01-07 01:00:00,-26027.155343367212
2025-01-07 02:00:00,-24870.81850741334
2025-01-07 03:00:00,-23072.806417860844
2025-01-07 04:00:00,-22174.914971271148
2025-01-07 05:00:00,-23441.484296410756
