,sabah
2025-01-01 00:00:00,-2414.437838285594
2025-01-01 01:00:00,-2379.316933353442
2025-01-01 02:00:00,-2273.6084232166804
2025-01-01 03:00:00,-2109.240071984755
2025-01-01 04:00:00,-2027.1577892688867
2025-01-01 05:00:00,-2142.943390991924
2025-01-01 06:00:00,-2382.590525655937
2025-01-01 07:00:00,-2641.3687042005427
2025-01-01 08:00:00,-2904.072417494479
2025-01-01 09:00:00,-3133.4670006239135
2025-01-01 10:00:00,-3229.053879527752
2025-01-01 11:00:00,-3134.2459317250978
2025-01-01 12:00:00,-2911.4934843242745
2025-01-01 13:00:00,-2684.2556854938375
2025-01-01 14:00:00,-2534.0821855263425
2025-01-01 15:00:00,-2476.0707758961476
2025-01-01 16:00:00,-2514.934216090816
2025-01-01 17:00:00,-2693.7850288616023
2025-01-01 18:00:00,-3043.802432315401
2025-01-01 19:00:00,-3446.8765121495167
2025-01-01 20:00:00,-3632.7445836877964
2025-01-01 21:00:00,-3446.844386330748
2025-01-01 22:00:00,-3043.5316337134573
2025-01-01 23:00:00,-2692.01912052835
2025-01-02 00:00:00,-2009.1371181834415
2025-01-02 01:00:00,-1979.9118001386073
2025-01-02 02:00:00,-1891.948097757914
2025-01-02 03:00:00,-1755.1715155332236
2025-01-02 04:00:00,-1686.868013022354
2025-01-02 05:00:00,-1783.217211367481
2025-01-02 06:00:00,-1982.6358693610368
2025-01-02 07:00:00,-2197.974129740125
2025-01-02 08:00:00,-2416.578963169279
2025-01-02 09:00:00,-2607.466118915158
2025-01-02 10:00:00,-2687.007262353075
2025-01-02 11:00:00,-2608.114294388173
2025-01-02 12:00:00,-2422.754289196662
2025-01-02 13:00:00,-2233.661868159758
2025-01-02 14:00:00,-2108.6973119521504
2025-01-02 15:00:00,-2060.424014326509
2025-01-02 16:00:00,-2092.7636252277593
2025-01-02 17:00:00,-2241.5915639127393
2025-01-02 18:00:00,-2532.853134675959
2025-01-02 19:00:00,-2868.264998394675
2025-01-02 20:00:00,-3022.932240471156
2025-01-02 21:00:00,-2868.238265391275
2025-01-02 22:00:00,-2532.627793806094
2025-01-02 23:00:00,-2240.1220905954365
2025-01-03 00:00:00,-2170.7993942455173
2025-01-03 01:00:00,-2139.2225037813564
2025-01-03 02:00:00,-2044.1809309014282
2025-01-03 03:00:00,-1896.398821281759
2025-01-03 04:00:00,-1822.5993774640554
2025-01-03 05:00:00,-1926.7011729615917
2025-01-03 06:00:00,-2142.16576124468
2025-01-03 07:00:00,-2374.8308994068075
2025-01-03 08:00:00,-2611.0254506359497
2025-01-03 09:00:00,-2817.2720618364147
2025-01-03 10:00:00,-2903.2133669021155
2025-01-03 11:00:00,-2817.9723917996866
2025-01-03 12:00:00,-2617.6976652290637
2025-01-03 13:00:00,-2413.390199437746
2025-01-03 14:00:00,-2278.370553211258
2025-01-03 15:00:00,-2226.213015382918
2025-01-03 16:00:00,-2261.154785717659
2025-01-03 17:00:00,-2421.9579465473544
2025-01-03 18:00:00,-2736.6554530826293
2025-01-03 19:00:00,-3099.0557412429853
2025-01-03 20:00:00,-3266.1680564605854
2025-01-03 21:00:00,-3099.0268572076143
2025-01-03 22:00:00,-2736.4119804896554
2025-01-03 23:00:00,-2420.3702342114516
2025-01-04 00:00:00,-2114.2150565006355
2025-01-04 01:00:00,-2083.461253346934
2025-01-04 02:00:00,-1990.8970463967632
2025-01-04 03:00:00,-1846.9670443580792
2025-01-04 04:00:00,-1775.0912663868996
2025-01-04 05:00:00,-1876.479531020232
2025-01-04 06:00:00,-2086.327791480587
2025-01-04 07:00:00,-2312.928250062407
2025-01-04 08:00:00,-2542.966123573802
2025-01-04 09:00:00,-2743.8366839342675
2025-01-04 10:00:00,-2827.537831827931
2025-01-04 11:00:00,-2744.518759006148
2025-01-04 12:00:00,-2549.4644193584604
2025-01-04 13:00:00,-2350.4824583921313
2025-01-04 14:00:00,-2218.98225172534
2025-01-04 15:00:00,-2168.1842590232077
2025-01-04 16:00:00,-2202.2152326536257
2025-01-04 17:00:00,-2358.826877497573
2025-01-04 18:00:00,-2665.3214381298467
2025-01-04 19:00:00,-3018.275353512291
2025-01-04 20:00:00,-3181.0316975099486
2025-01-04 21:00:00,-3018.247222371921
2025-01-04 22:00:00,-2665.084311924968
2025-01-04 23:00:00,-2357.2805506767454
2025-01-05 00:00:00,-2154.4719633374607
2025-01-05 01:00:00,-2123.1325750113187
2025-01-05 02:00:00,-2028.8058469570817
2025-01-05 03:00:00,-1882.135264358591
2025-01-05 04:00:00,-1808.89089500939
2025-01-05 05:00:00,-1912.2097002048763
2025-01-05 06:00:00,-2126.053695084608
2025-01-05 07:00:00,-2356.9688677832632
2025-01-05 08:00:00,-2591.3869074534487
2025-01-05 09:00:00,-2796.0822572599204
2025-01-05 10:00:00,-2881.377164171868
2025-01-05 11:00:00,-2796.777319767749
2025-01-05 12:00:00,-2598.0089377121367
2025-01-05 13:00:00,-2395.2381482440896
2025-01-05 14:00:00,-2261.2340375621743
2025-01-05 15:00:00,-2209.4687969665883
2025-01-05 16:00:00,-2244.1477565863192
2025-01-05 17:00:00,-2403.741453978166
2025-01-05 18:00:00,-2716.071997537261
2025-01-05 19:00:00,-3075.746531451655
2025-01-05 20:00:00,-3241.601929614719
