,sarawak
2025-01-01 00:00:00,-5841.379585859075
2025-01-01 01:00:00,-5756.409687750933
2025-01-01 02:00:00,-5500.663392123415
2025-01-01 03:00:00,-5102.9981815213305
2025-01-01 04:00:00,-4904.4120912049
2025-01-01 05:00:00,-5184.5384376017955
2025-01-01 06:00:00,-5764.32966603532
2025-01-01 07:00:00,-6390.405659977494
2025-01-01 08:00:00,-7025.978911701468
2025-01-01 09:00:00,-7580.965589656453
2025-01-01 10:00:00,-7812.224077347044
2025-01-01 11:00:00,-7582.850099649255
2025-01-01 12:00:00,-7043.933098633714
2025-01-01 13:00:00,-6494.164445171013
2025-01-01 14:00:00,-6130.841603250171
2025-01-01 15:00:00,-5990.491473465364
2025-01-01 16:00:00,-6084.51588883428
2025-01-01 17:00:00,-6517.219299155006
2025-01-01 18:00:00,-7364.035267166096
2025-01-01 19:00:00,-8339.214111780204
2025-01-01 20:00:00,-8788.89475442522
2025-01-01 21:00:00,-8339.13638805547
2025-01-01 22:00:00,-7363.380109513996
2025-01-01 23:00:00,-6512.946941952518
2025-01-02 00:00:00,-5123.358551299911
2025-01-02 01:00:00,-5048.833133515164
2025-01-02 02:00:00,-4824.523113697505
2025-01-02 03:00:00,-4475.738819277604
2025-01-02 04:00:00,-4301.562885487083
2025-01-02 05:00:00,-4547.256165843534
2025-01-02 06:00:00,-5055.779589891266
2025-01-02 07:00:00,-5604.898466721713
2025-01-02 08:00:00,-6162.347200592792
2025-01-02 09:00:00,-6649.115043799136
2025-01-02 10:00:00,-6851.947291396694
2025-01-02 11:00:00,-6650.767910257261
2025-01-02 12:00:00,-6178.094462998685
2025-01-02 13:00:00,-5695.903245914728
2025-01-02 14:00:00,-5377.239964120147
2025-01-02 15:00:00,-5254.141639993128
2025-01-02 16:00:00,-5336.608595860448
2025-01-02 17:00:00,-5716.124202552062
2025-01-02 18:00:00,-6458.849746632396
2025-01-02 19:00:00,-7314.159832060733
2025-01-02 20:00:00,-7708.565833585892
2025-01-02 21:00:00,-7314.091662118358
2025-01-02 22:00:00,-6458.275120808138
2025-01-02 23:00:00,-5712.37700251381
2025-01-03 00:00:00,-4902.746525612199
2025-01-03 01:00:00,-4831.4301753206
2025-01-03 02:00:00,-4616.778953995869
2025-01-03 03:00:00,-4283.013325349518
2025-01-03 04:00:00,-4116.337414287218
2025-01-03 05:00:00,-4351.451132090207
2025-01-03 06:00:00,-4838.077517005209
2025-01-03 07:00:00,-5363.551312870126
2025-01-03 08:00:00,-5896.996281795817
2025-01-03 09:00:00,-6362.8038820572
2025-01-03 10:00:00,-6556.902164899169
2025-01-03 11:00:00,-6364.385576019027
2025-01-03 12:00:00,-5912.065466447905
2025-01-03 13:00:00,-5450.637422603644
2025-01-03 14:00:00,-5145.695794565107
2025-01-03 15:00:00,-5027.898089235793
2025-01-03 16:00:00,-5106.814014660092
2025-01-03 17:00:00,-5469.9876640332795
2025-01-03 18:00:00,-6180.731416254053
2025-01-03 19:00:00,-6999.211814935287
2025-01-03 20:00:00,-7376.63467814041
2025-01-03 21:00:00,-6999.146580393376
2025-01-03 22:00:00,-6180.181533840944
2025-01-03 23:00:00,-5466.401818579685
2025-01-04 00:00:00,-5434.092493179266
2025-01-04 01:00:00,-5355.04707613884
2025-01-04 02:00:00,-5117.132555296498
2025-01-04 03:00:00,-4747.1943405359625
2025-01-04 04:00:00,-4562.454560013786
2025-01-04 05:00:00,-4823.049245519611
2025-01-04 06:00:00,-5362.414838139021
2025-01-04 07:00:00,-5944.83801554679
2025-01-04 08:00:00,-6536.096259475968
2025-01-04 09:00:00,-7052.386785739746
2025-01-04 10:00:00,-7267.520898062396
2025-01-04 11:00:00,-7054.139899273063
2025-01-04 12:00:00,-6552.798600249341
2025-01-04 13:00:00,-6041.362274488367
2025-01-04 14:00:00,-5703.371924971944
2025-01-04 15:00:00,-5572.80763352842
2025-01-04 16:00:00,-5660.276246417178
2025-01-04 17:00:00,-6062.809641009289
2025-01-04 18:00:00,-6850.581814900065
